
Found '9' columns in '/group/ctbrowngrp/2025-ccbaumler-team-tartrate/updated/final_results.csv' file
=== 20201 Unique values (of 594573 values) for column 1: contig ===
    136 GCA_963693395.1_lcl|OY856303.1_cds_CAK5456711.1_425
     74 GCF_904865835.1_lcl|NZ_LR890508.1_cds_WP_000133044.1_3482
     74 GCF_904810185.1_lcl|NZ_CAJGGL010000004.1_cds_WP_000133044.1_1226
     74 GCF_900706905.1_lcl|NZ_CAADJL010000005.1_cds_WP_000133044.1_1156
     74 GCF_900499695.1_lcl|NZ_UIJH01000002.1_cds_WP_000133044.1_2186
     74 GCF_900499085.1_lcl|NZ_UIHI01000019.1_cds_WP_000133044.1_2569
     74 GCF_900480075.1_lcl|NZ_UCZW01000003.1_cds_WP_000133044.1_4552
     74 GCF_900479685.1_lcl|NZ_UCZC01000021.1_cds_WP_000133044.1_4444
     74 GCF_900450115.1_lcl|NZ_UGFT01000003.1_cds_WP_000133044.1_662
     74 GCF_900449425.1_lcl|NZ_UGCZ01000001.1_cds_WP_000133044.1_600
     74 GCF_900447915.1_lcl|NZ_UFYM01000003.1_cds_WP_000133044.1_528
     74 GCF_900196125.1_lcl|NZ_FZIG01000006.1_cds_WP_000133044.1_2121
     74 GCF_041727595.1_lcl|NZ_JBGRSH010000015.1_cds_WP_000133044.1_3631
     74 GCF_041084245.1_lcl|NZ_JBCEXR010000004.1_cds_WP_000133044.1_2871
     74 GCF_040721735.1_lcl|NZ_JAWRVS010000002.1_cds_WP_000133044.1_892
     74 GCF_040139025.1_lcl|NZ_JBEETV010000010.1_cds_WP_000133044.1_1564
     74 GCF_037286535.1_lcl|NZ_JAXBTL010000001.1_cds_WP_000133044.1_434
     74 GCF_037197085.1_lcl|NZ_JBBEYX010000186.1_cds_WP_000133044.1_2693
     74 GCF_037172405.1_lcl|NZ_JBANOV010000002.1_cds_WP_000133044.1_348
     74 GCF_037105375.1_lcl|NZ_JAGIUC010000007.1_cds_WP_000133044.1_1757
     74 GCF_036496485.1_lcl|NZ_AP027532.1_cds_WP_000133044.1_3673
     74 GCF_036037285.1_lcl|NZ_JAYXEC010000010.1_cds_WP_000133044.1_658
     74 GCF_035831735.1_lcl|NZ_JAYMMW010000007.1_cds_WP_000133044.1_1337
     74 GCF_035831655.1_lcl|NZ_JAYMNA010000001.1_cds_WP_000133044.1_99
     74 GCF_034718995.1_lcl|NZ_JAXMRS010000001.1_cds_WP_000133044.1_1466
     73 GCF_963575455.1_lcl|NZ_OY754409.1_cds_WP_000133044.1_564
     73 GCF_949281565.1_lcl|NZ_CASDMW010000026.1_cds_WP_000133044.1_2777
     73 GCF_948144045.1_lcl|NZ_CANUFQ010000012.1_cds_WP_000133044.1_1389
     73 GCF_946960475.1_lcl|NZ_CAMPTC010000002.1_cds_WP_000133044.1_326
     73 GCF_907177085.1_lcl|NZ_CAJSKQ010000007.1_cds_WP_000133044.1_1219
     73 GCF_907175565.1_lcl|NZ_CAJSIQ010000001.1_cds_WP_000133044.1_122
     73 GCF_907175315.1_lcl|NZ_CAJSGW010000005.1_cds_WP_000133044.1_683
     73 GCF_902703275.1_lcl|NZ_CACRYR010000188.1_cds_WP_000133044.1_2392
     73 GCF_900490255.1_lcl|NZ_UEJW01000008.1_cds_WP_000133044.1_3095
     73 GCF_900482105.1_lcl|NZ_UDGX01000013.1_cds_WP_000133044.1_3908
     73 GCF_900480815.1_lcl|NZ_UDCD01000001.1_cds_WP_000133044.1_1651
     73 GCF_900478955.1_lcl|NZ_UCVO01000004.1_cds_WP_000133044.1_3791
     73 GCF_900478555.1_lcl|NZ_UCUH01000003.1_cds_WP_000133044.1_529
     73 GCF_900450605.1_lcl|NZ_UGFR01000001.1_cds_WP_000133044.1_630
     73 GCF_900196695.1_lcl|NZ_FZKB01000001.1_cds_WP_000133044.1_2973
     73 GCF_900196585.1_lcl|NZ_FZJG01000008.1_cds_WP_000133044.1_2407
     73 GCF_900195855.1_lcl|NZ_FZHA01000005.1_cds_WP_000133044.1_2882
     73 GCF_900195375.1_lcl|NZ_FZFJ01000005.1_cds_WP_000133044.1_3726
     73 GCF_041698815.1_lcl|NZ_JBGRCM010000003.1_cds_WP_000133044.1_566
     73 GCF_041020265.1_lcl|NZ_JBEJGZ010000008.1_cds_WP_000133044.1_328
     73 GCF_040933045.1_lcl|NZ_JBFQZL010000003.1_cds_WP_000133044.1_382
     73 GCF_040423035.1_lcl|NZ_JALFZR010000014.1_cds_WP_000133044.1_2995
     73 GCF_039058285.1_lcl|NZ_JBCHLG010000002.1_cds_WP_000133044.1_176
